,country,number,x,y
0,Sierra Leone,1,-143.0,39.0
1,Guinea Bissau,2,-158.0,58.0
2,Benin,3,-73.0,47.0
3,Liberia,4,-133.0,30.0
4,Senegal,5,-156.0,77.0
5,Mauritania,6,-124.0,97.0
6,Togo,7,-79.0,40.0
7,Burundi,8,64.0,-17.0
8,Tanzania,9,90.0,-44.0
9,Malawi,10,80.0,-72.0
10,South Africa,11,33.0,-157.0
11,Tunisia,12,-39.0,175.0
12,Ghana,13,-91.0,34.0
13,Egypt,14,60.0,132.0
14,Nigeria,15,-49.0,45.0
15,Ethiopia,16,104.0,40.0
16,Madagascar,17,138.0,-109.0
17,Libya,18,1.0,139.0
18,Niger,19,-47.0,82.0
19,Chad,20,7.0,77.0
20,Sudan,21,58.0,77.0
21,South Sudan,22,59.0,30.0
22,Uganda,23,72.0,2.0
23,Dr Congo,24,27.0,-13.0
24,Cameroon,25,-26.0,18.0
25,Congo,26,-7.0,-4.0
26,Gabon,27,-30.0,-4.0
27,Angola,28,-5.0,-65.0
28,Namibia,29,-6.0,-110.0
29,Botswana,30,25.0,-122.0
30,Zimbabwe,31,58.0,-105.0
31,Mozambique,32,99.0,-77.0
32,Zambia,33,40.0,-81.0
33,Kenya,34,102.0,-2.0
34,Somalia,35,133.0,9.0
35,Eritrea,36,100.0,79.0
36,Mali,37,-98.0,88.0
37,Ivory Coast,38,-113.0,33.0
38,Burkina Faso,39,-94.0,60.0
39,Algeria,40,-75.0,138.0
40,Morocco,41,-113.0,161.0
41,Central African Republic,42,12.0,32.0
42,Guinea,43,-143.0,55.0
43,Western Sahara,44,-150.0,119.0
